Name,XPos,YPos,ZPos
1,-10.5042,-6.06622,-9.05778e-05
2,-8.49746,-9.52102,0.00191803
3,-7.49736,-9.52512,-0.00251853
4,-6.99704,-10.3902,-0.000642326
5,-9.5017,-7.79608,0.00165183
6,-12.4945,-2.60312,-0.00140283
7,-11.9975,-1.73362,0.00230207
8,-11.5016,-4.33307,-0.00206093
9,-12.4968,-0.867589,-0.00126941
10,-0.000997757,-12.1288,0.00239831
11,-12.0008,-0.000875365,0.00123608
12,-3.9977,-12.1235,0.00294872
13,-4.49679,-11.2576,0.00306745
14,-5.99828,10.3906,0.00321614
15,-5.49442,-11.2549,-0.00119069
16,-1.99512,-12.1254,0.000418758
17,3.9973,-12.1211,-0.00177982
18,4.50068,-11.2564,0.000983492
19,5.99828,10.3932,-0.00160126
20,2.00099,-12.129,-0.00292765
21,5.4997,-11.2547,0.00137513
22,10.5037,-6.06627,0.00181191
23,8.50123,-9.52548,0.00222596
24,11.9971,0.00173824,-0.00307043
25,7.50076,-9.52571,0.00149567
26,7.00065,-10.388,-0.00131291
27,9.50002,-7.79557,0.00192791
28,12.4998,-2.60265,-0.0030547
29,6.00187,-10.3916,0.000816805
30,12.0011,-1.73082,-0.00137715
31,11.5013,-4.3349,-0.00184813
32,12.493,-0.867077,-0.00190622
33,10.5024,6.06234,-0.00188353
34,-5.99858,-10.3916,-0.00105853
35,12.4951,2.59953,-0.00137169
36,11.9993,1.73251,-0.00303735
37,12.4944,0.868458,0.000417138
38,11.5003,4.33151,0.000804078
39,8.50228,9.52503,-0.00109398
40,7.49764,9.52517,-0.000296168
41,9.50441,7.79334,0.00290446
42,6.99919,10.3913,0.000397115
43,0.000491651,12.129,-0.000474309
44,3.99885,12.1234,0.001014
45,4.4962,11.259,0.000673412
46,5.49786,11.2566,-0.00125893
47,1.99716,12.1255,0.000407664
48,-3.99592,12.1228,0.00146045
49,-4.49551,11.2551,-0.00119719
50,-11.9967,3.46683,-8.81359e-05
51,-11.0045,5.20054,0.000420079
52,-2.00111,12.1284,0.00153814
53,-5.49479,11.2565,-0.00249577
54,-10.4997,6.06504,-0.00178799
55,-10.0059,6.93,-0.000334998
56,-9.00159,8.65719,0.000279958
57,-8.49933,9.5233,0.00255571
58,-7.4997,9.52335,0.00212108
